"city","state","plan_id","zipcode"
"Wilkes-Barre","PA",9,"18702"
"Philadelphia","PA",9,"19107"
"Philadelphia","PA",9,"19104"
"Lancaster","PA",9,"17601"
"Allentown","PA",9,"18104"
"Baltimore","MD",9,"21287"
"Bethlehem","PA",9,"18017"
"York","PA",9,"17403"
"Wilkes-Barre","PA",10,"18702"
"Philadelphia","PA",10,"19107"
"Lancaster","PA",10,"17601"
"Philadelphia","PA",10,"19104"
"Newark","DE",10,"19713"
"Allentown","PA",10,"18104"
"York","PA",10,"17403"
"Allentown","PA",10,"18103"
"Bethlehem","PA",10,"18017"
"Baltimore","MD",10,"21287"
"Philadelphia","PA",11,"19104"
"Baltimore","MD",11,"21287"
"Lancaster","PA",11,"17601"
"Allentown","PA",11,"18104"
